Place,District,Type,Budget,Season,Interest,Rating,Approx_Cost,Image_URL,Youtube_Link,Hotel_Budget,Hotel_Budget_Price,Hotel_Premium,Hotel_Premium_Price,Latitude,Longitude,image_url
Neelkantheshwar Heritage,Pune,Fort,Medium,Monsoon,Spiritual,4.9,5888,/static/images/neelkantheshwar_heritage.jpg,https://www.youtube.com/embed/sample_neelkantheshwar_heritage,The Residency Pune,1181,The Taj Mahal Inn Pune,5721,20.0634,76.447,https://source.unsplash.com/800x600/?Neelkantheshwar%20Heritage%2CFort%2CMaharashtra
Mani Bhavan Ancient Site,Mumbai,Hill,Medium,Monsoon,Adventure,3.6,6481,/static/images/mani_bhavan_ancient_site.jpg,https://www.youtube.com/embed/sample_mani_bhavan_ancient_site,Heritage Home Mumbai,1704,The Grand Regency Mumbai,3713,17.7631,76.8726,https://source.unsplash.com/800x600/?Mani%20Bhavan%20Ancient%20Site%2CHill%2CMaharashtra
Gandhi Research Foundation Memorial,Jalgaon,Fort,High,All,Adventure,4.0,10174,/static/images/gandhi_research_foundation_memorial.jpg,https://www.youtube.com/embed/sample_gandhi_research_foundation_memorial,Pleasant Stay Jalgaon,1585,Gateway Palace Jalgaon,6000,17.383,76.114,https://source.unsplash.com/800x600/?Gandhi%20Research%20Foundation%20Memorial%2CFort%2CMaharashtra
Patnadevi Temple Point,Jalgaon,Spiritual,Low,Winter,Spiritual,4.7,3349,/static/images/patnadevi_temple_point.jpg,https://www.youtube.com/embed/sample_patnadevi_temple_point,The Residency Jalgaon,1384,Vivanta Plaza Jalgaon,5545,16.4769,73.5188,https://source.unsplash.com/800x600/?Patnadevi%20Temple%20Point%2CSpiritual%2CMaharashtra
Kaas Plateau View,Satara,Wildlife,High,All,Spiritual,3.8,9134,/static/images/kaas_plateau_view.jpg,https://www.youtube.com/embed/sample_kaas_plateau_view,Royal Inn Satara,1453,The Taj Mahal Inn Satara,3817,18.9064,76.6703,https://source.unsplash.com/800x600/?Kaas%20Plateau%20View%2CWildlife%2CMaharashtra
Kaneri Math Memorial,Kolhapur,Historical,High,Monsoon,Adventure,4.0,9793,/static/images/kaneri_math_memorial.jpg,https://www.youtube.com/embed/sample_kaneri_math_memorial,City Center Guest House Kolhapur,1323,Orchid Resort Kolhapur,5593,19.5191,78.7186,https://source.unsplash.com/800x600/?Kaneri%20Math%20Memorial%2CHistorical%2CMaharashtra
Ralegan Siddhi Ancient Site,Ahmednagar,Nature,Medium,All,Spiritual,4.1,4022,/static/images/ralegan_siddhi_ancient_site.jpg,https://www.youtube.com/embed/sample_ralegan_siddhi_ancient_site,City Center Guest House Ahmednagar,1628,Orchid Resort Ahmednagar,6282,16.8345,75.6335,https://source.unsplash.com/800x600/?Ralegan%20Siddhi%20Ancient%20Site%2CNature%2CMaharashtra
Kandhar Fort Museum,Nanded,Fort,Low,Winter,Adventure,4.1,3768,/static/images/kandhar_fort_museum.jpg,https://www.youtube.com/embed/sample_kandhar_fort_museum,The Residency Nanded,1048,Marriott Executive Nanded,4452,19.8349,74.8958,https://source.unsplash.com/800x600/?Kandhar%20Fort%20Museum%2CFort%2CMaharashtra
Nehru Science Centre Garden,Mumbai,Spiritual,High,Winter,Spiritual,4.1,14959,/static/images/nehru_science_centre_garden.jpg,https://www.youtube.com/embed/sample_nehru_science_centre_garden,Hotel Sai Mumbai,1795,Novotel Heritage Mumbai,6837,18.842,78.9966,https://source.unsplash.com/800x600/?Nehru%20Science%20Centre%20Garden%2CSpiritual%2CMaharashtra
Shani Shingnapur Point,Ahmednagar,Historical,High,Winter,Nature,3.9,11116,/static/images/shani_shingnapur_point.jpg,https://www.youtube.com/embed/sample_shani_shingnapur_point,Hotel Sai Ahmednagar,1019,Orchid Resort Ahmednagar,6677,20.7091,73.6588,https://source.unsplash.com/800x600/?Shani%20Shingnapur%20Point%2CHistorical%2CMaharashtra
Prithvi Theatre View,Mumbai,Hill,High,Monsoon,Wildlife,4.7,12914,/static/images/prithvi_theatre_view.jpg,https://www.youtube.com/embed/sample_prithvi_theatre_view,The Residency Mumbai,1007,Marriott Executive Mumbai,3790,17.0285,75.4322,https://source.unsplash.com/800x600/?Prithvi%20Theatre%20View%2CHill%2CMaharashtra
Vishnupuri Dam Heritage,Nanded,Wildlife,High,Monsoon,Cultural,3.6,14282,/static/images/vishnupuri_dam_heritage.jpg,https://www.youtube.com/embed/sample_vishnupuri_dam_heritage,The Residency Nanded,1047,Marriott Executive Nanded,4975,18.828,76.3823,https://source.unsplash.com/800x600/?Vishnupuri%20Dam%20Heritage%2CWildlife%2CMaharashtra
Ellora Caves Heritage,Aurangabad,Historical,Medium,All,Cultural,4.5,5002,/static/images/ellora_caves_heritage.jpg,https://www.youtube.com/embed/sample_ellora_caves_heritage,Hotel Sai Aurangabad,1281,Orchid Resort Aurangabad,4153,18.8615,77.4415,https://source.unsplash.com/800x600/?Ellora%20Caves%20Heritage%2CHistorical%2CMaharashtra
Osho Garden Memorial,Pune,Beach,Medium,Winter,Nature,4.8,7568,/static/images/osho_garden_memorial.jpg,https://www.youtube.com/embed/sample_osho_garden_memorial,Pleasant Stay Pune,1234,The Grand Regency Pune,5275,19.9432,78.3588,https://source.unsplash.com/800x600/?Osho%20Garden%20Memorial%2CBeach%2CMaharashtra
Vajreshwari Temple Lake Side,Thane,Spiritual,Low,Winter,Spiritual,3.7,2125,/static/images/vajreshwari_temple_lake_side.jpg,https://www.youtube.com/embed/sample_vajreshwari_temple_lake_side,City Center Guest House Thane,1705,Novotel Heritage Thane,6678,18.0912,77.3028,https://source.unsplash.com/800x600/?Vajreshwari%20Temple%20Lake%20Side%2CSpiritual%2CMaharashtra
Kalaram Temple Point,Nashik,Spiritual,Low,Winter,Spiritual,3.9,3173,/static/images/kalaram_temple_point.jpg,https://www.youtube.com/embed/sample_kalaram_temple_point,The Residency Nashik,1251,The Grand Regency Nashik,5022,19.3404,73.6753,https://source.unsplash.com/800x600/?Kalaram%20Temple%20Point%2CSpiritual%2CMaharashtra
Futala Lake Heritage,Nagpur,Wildlife,Medium,Monsoon,Nature,4.6,4744,/static/images/futala_lake_heritage.jpg,https://www.youtube.com/embed/sample_futala_lake_heritage,Pleasant Stay Nagpur,1227,Gateway Palace Nagpur,4687,20.745,75.1999,https://source.unsplash.com/800x600/?Futala%20Lake%20Heritage%2CWildlife%2CMaharashtra
Kalaram Temple Heritage,Nashik,Spiritual,High,All,Spiritual,3.7,14640,/static/images/kalaram_temple_heritage.jpg,https://www.youtube.com/embed/sample_kalaram_temple_heritage,The Residency Nashik,1204,Novotel Heritage Nashik,5513,20.6666,78.9964,https://source.unsplash.com/800x600/?Kalaram%20Temple%20Heritage%2CSpiritual%2CMaharashtra
Kharosa Caves Lake Side,Latur,Historical,Low,Monsoon,Cultural,4.8,2885,/static/images/kharosa_caves_lake_side.jpg,https://www.youtube.com/embed/sample_kharosa_caves_lake_side,Royal Inn Latur,1380,The Taj Mahal Inn Latur,4583,16.7727,77.7074,https://source.unsplash.com/800x600/?Kharosa%20Caves%20Lake%20Side%2CHistorical%2CMaharashtra
Mehrun Lake Valley,Jalgaon,Hill,Low,Monsoon,Spiritual,3.5,2410,/static/images/mehrun_lake_valley.jpg,https://www.youtube.com/embed/sample_mehrun_lake_valley,Green Leaf Lodge Jalgaon,1087,Marriott Executive Jalgaon,6339,18.6304,79.2234,https://source.unsplash.com/800x600/?Mehrun%20Lake%20Valley%2CHill%2CMaharashtra
Audumbar,Kolhapur,Spiritual,High,Winter,Wildlife,4.1,9434,/static/images/audumbar.jpg,https://www.youtube.com/embed/sample_audumbar,Heritage Home Kolhapur,1103,Novotel Heritage Kolhapur,6573,19.3062,73.5656,https://source.unsplash.com/800x600/?Audumbar%2CSpiritual%2CMaharashtra
Arnala Beach Memorial,Palghar,Beach,Medium,Winter,Relaxation,3.9,7863,/static/images/arnala_beach_memorial.jpg,https://www.youtube.com/embed/sample_arnala_beach_memorial,City Center Guest House Palghar,1734,The Taj Mahal Inn Palghar,4059,16.7948,79.1203,https://source.unsplash.com/800x600/?Arnala%20Beach%20Memorial%2CBeach%2CMaharashtra
Tuljapur Bhavani Temple Memorial,Dharashiv,Spiritual,High,Winter,Spiritual,4.3,9567,/static/images/tuljapur_bhavani_temple_memorial.jpg,https://www.youtube.com/embed/sample_tuljapur_bhavani_temple_memorial,City Center Guest House Dharashiv,1423,The Grand Regency Dharashiv,6651,16.1567,74.3759,https://source.unsplash.com/800x600/?Tuljapur%20Bhavani%20Temple%20Memorial%2CSpiritual%2CMaharashtra
Hazur Sahib Gurudwara Memorial,Nanded,Spiritual,Medium,Monsoon,Spiritual,4.4,7417,/static/images/hazur_sahib_gurudwara_memorial.jpg,https://www.youtube.com/embed/sample_hazur_sahib_gurudwara_memorial,Heritage Home Nanded,1716,Novotel Heritage Nanded,5632,19.5105,74.8645,https://source.unsplash.com/800x600/?Hazur%20Sahib%20Gurudwara%20Memorial%2CSpiritual%2CMaharashtra
Nanaj Bird Sanctuary Valley,Latur,Wildlife,Medium,Monsoon,Wildlife,4.8,6738,/static/images/nanaj_bird_sanctuary_valley.jpg,https://www.youtube.com/embed/sample_nanaj_bird_sanctuary_valley,Heritage Home Latur,1418,Orchid Resort Latur,5521,17.8431,76.0648,https://source.unsplash.com/800x600/?Nanaj%20Bird%20Sanctuary%20Valley%2CWildlife%2CMaharashtra
Andhalgaon View,Bhandara,Fort,Low,All,Cultural,3.8,1537,/static/images/andhalgaon_view.jpg,https://www.youtube.com/embed/sample_andhalgaon_view,Pleasant Stay Bhandara,1720,Marriott Executive Bhandara,6848,18.958,74.143,https://source.unsplash.com/800x600/?Andhalgaon%20View%2CFort%2CMaharashtra
Chikhaldara Hill Station Point,Amravati,Hill,Medium,Winter,Nature,4.5,4381,/static/images/chikhaldara_hill_station_point.jpg,https://www.youtube.com/embed/sample_chikhaldara_hill_station_point,Royal Inn Amravati,1461,Gateway Palace Amravati,3521,17.1587,78.5147,https://source.unsplash.com/800x600/?Chikhaldara%20Hill%20Station%20Point%2CHill%2CMaharashtra
Audumbar Museum,Kolhapur,Historical,High,Monsoon,Nature,4.3,14362,/static/images/audumbar_museum.jpg,https://www.youtube.com/embed/sample_audumbar_museum,Hotel Sai Kolhapur,1170,The Taj Mahal Inn Kolhapur,6139,18.4108,79.9089,https://source.unsplash.com/800x600/?Audumbar%20Museum%2CHistorical%2CMaharashtra
Horniman Circle Museum,Mumbai,Spiritual,High,Winter,Cultural,3.9,8340,/static/images/horniman_circle_museum.jpg,https://www.youtube.com/embed/sample_horniman_circle_museum,Hotel Sai Mumbai,1103,Orchid Resort Mumbai,6571,16.6767,77.478,https://source.unsplash.com/800x600/?Horniman%20Circle%20Museum%2CSpiritual%2CMaharashtra
Ausa Fort Valley,Latur,Fort,Medium,All,Adventure,4.3,7671,/static/images/ausa_fort_valley.jpg,https://www.youtube.com/embed/sample_ausa_fort_valley,Green Leaf Lodge Latur,1749,Vivanta Plaza Latur,4321,17.8356,73.3147,https://source.unsplash.com/800x600/?Ausa%20Fort%20Valley%2CFort%2CMaharashtra
Karanja Sohol Sanctuary Heritage,Washim,Wildlife,High,Monsoon,Wildlife,4.8,14713,/static/images/karanja_sohol_sanctuary_heritage.jpg,https://www.youtube.com/embed/sample_karanja_sohol_sanctuary_heritage,The Residency Washim,1477,The Taj Mahal Inn Washim,3826,19.0091,79.4823,https://source.unsplash.com/800x600/?Karanja%20Sohol%20Sanctuary%20Heritage%2CWildlife%2CMaharashtra
Hazur Sahib Gurudwara Point,Nanded,Spiritual,Medium,Monsoon,Spiritual,4.8,4293,/static/images/hazur_sahib_gurudwara_point.jpg,https://www.youtube.com/embed/sample_hazur_sahib_gurudwara_point,Heritage Home Nanded,1759,Novotel Heritage Nanded,5216,18.1274,77.9928,https://source.unsplash.com/800x600/?Hazur%20Sahib%20Gurudwara%20Point%2CSpiritual%2CMaharashtra
Bassein Fort View,Thane,Fort,Low,Monsoon,Adventure,4.6,2406,/static/images/bassein_fort_view.jpg,https://www.youtube.com/embed/sample_bassein_fort_view,The Residency Thane,1121,The Taj Mahal Inn Thane,6131,17.7288,79.1278,https://source.unsplash.com/800x600/?Bassein%20Fort%20View%2CFort%2CMaharashtra
Prakash Temple Heritage,Nandurbar,Spiritual,High,Monsoon,Spiritual,4.3,14025,/static/images/prakash_temple_heritage.jpg,https://www.youtube.com/embed/sample_prakash_temple_heritage,Pleasant Stay Nandurbar,1031,Orchid Resort Nandurbar,4071,18.7812,74.2751,https://source.unsplash.com/800x600/?Prakash%20Temple%20Heritage%2CSpiritual%2CMaharashtra
Siddheshwar Mandir Museum,Ahmednagar,Spiritual,High,All,Spiritual,4.7,11095,/static/images/siddheshwar_mandir_museum.jpg,https://www.youtube.com/embed/sample_siddheshwar_mandir_museum,The Residency Ahmednagar,1560,The Taj Mahal Inn Ahmednagar,5556,16.5983,79.4333,https://source.unsplash.com/800x600/?Siddheshwar%20Mandir%20Museum%2CSpiritual%2CMaharashtra
Akkalkot Swami Samarth Maharaj Temple View,Solapur,Spiritual,Low,Monsoon,Spiritual,4.3,2463,/static/images/akkalkot_swami_samarth_maharaj_temple_view.jpg,https://www.youtube.com/embed/sample_akkalkot_swami_samarth_maharaj_temple_view,Heritage Home Solapur,1597,Marriott Executive Solapur,4933,16.8433,73.48,https://source.unsplash.com/800x600/?Akkalkot%20Swami%20Samarth%20Maharaj%20Temple%20View%2CSpiritual%2CMaharashtra
Salim Ali Lake Garden,Chhatrapati Sambhaji Nagar,Nature,Medium,Monsoon,Adventure,4.8,5351,/static/images/salim_ali_lake_garden.jpg,https://www.youtube.com/embed/sample_salim_ali_lake_garden,City Center Guest House Chhatrapati Sambhaji Nagar,1799,Orchid Resort Chhatrapati Sambhaji Nagar,3732,19.4219,79.3507,https://source.unsplash.com/800x600/?Salim%20Ali%20Lake%20Garden%2CNature%2CMaharashtra
Audumbar Memorial,Kolhapur,Nature,High,Winter,Cultural,4.3,14494,/static/images/audumbar_memorial.jpg,https://www.youtube.com/embed/sample_audumbar_memorial,Hotel Sai Kolhapur,1665,Orchid Resort Kolhapur,6355,19.0342,77.4121,https://source.unsplash.com/800x600/?Audumbar%20Memorial%2CNature%2CMaharashtra
Kankaleshwar Temple View,Beed,Spiritual,High,All,Spiritual,4.2,11078,/static/images/kankaleshwar_temple_view.jpg,https://www.youtube.com/embed/sample_kankaleshwar_temple_view,City Center Guest House Beed,1698,Gateway Palace Beed,3924,17.771,78.4449,https://source.unsplash.com/800x600/?Kankaleshwar%20Temple%20View%2CSpiritual%2CMaharashtra
Mahur Renuka Mata Temple Point,Nanded,Spiritual,Low,Winter,Spiritual,3.7,3438,/static/images/mahur_renuka_mata_temple_point.jpg,https://www.youtube.com/embed/sample_mahur_renuka_mata_temple_point,City Center Guest House Nanded,1431,Gateway Palace Nanded,6562,19.1443,76.3842,https://source.unsplash.com/800x600/?Mahur%20Renuka%20Mata%20Temple%20Point%2CSpiritual%2CMaharashtra
Kohoj Fort Heritage,Palghar,Fort,Low,All,Adventure,3.5,2753,/static/images/kohoj_fort_heritage.jpg,https://www.youtube.com/embed/sample_kohoj_fort_heritage,Green Leaf Lodge Palghar,1615,Gateway Palace Palghar,6878,20.7935,78.6282,https://source.unsplash.com/800x600/?Kohoj%20Fort%20Heritage%2CFort%2CMaharashtra
Bhakti Dham Ancient Site,Amravati,Historical,Low,Winter,Wildlife,4.8,2828,/static/images/bhakti_dham_ancient_site.jpg,https://www.youtube.com/embed/sample_bhakti_dham_ancient_site,City Center Guest House Amravati,1228,Novotel Heritage Amravati,3901,17.9992,73.1437,https://source.unsplash.com/800x600/?Bhakti%20Dham%20Ancient%20Site%2CHistorical%2CMaharashtra
Kapaleshwar Temple Point,Nashik,Spiritual,Low,Winter,Spiritual,4.3,3649,/static/images/kapaleshwar_temple_point.jpg,https://www.youtube.com/embed/sample_kapaleshwar_temple_point,The Residency Nashik,1753,The Grand Regency Nashik,6692,17.035,75.2808,https://source.unsplash.com/800x600/?Kapaleshwar%20Temple%20Point%2CSpiritual%2CMaharashtra
Bamnoli Point,Satara,Spiritual,High,Monsoon,Adventure,4.7,9448,/static/images/bamnoli_point.jpg,https://www.youtube.com/embed/sample_bamnoli_point,Royal Inn Satara,1056,Gateway Palace Satara,6142,18.2098,79.5774,https://source.unsplash.com/800x600/?Bamnoli%20Point%2CSpiritual%2CMaharashtra
Empress Garden Heritage,Pune,Fort,High,Winter,Cultural,4.3,10192,/static/images/empress_garden_heritage.jpg,https://www.youtube.com/embed/sample_empress_garden_heritage,Royal Inn Pune,1050,Orchid Resort Pune,4211,17.0172,73.4705,https://source.unsplash.com/800x600/?Empress%20Garden%20Heritage%2CFort%2CMaharashtra
Nakane Lake Museum,Dhule,Nature,Medium,Monsoon,Spiritual,3.7,5825,/static/images/nakane_lake_museum.jpg,https://www.youtube.com/embed/sample_nakane_lake_museum,Green Leaf Lodge Dhule,1213,The Taj Mahal Inn Dhule,3968,19.007,77.9039,https://source.unsplash.com/800x600/?Nakane%20Lake%20Museum%2CNature%2CMaharashtra
Harnai Beach View,Ratnagiri,Beach,Medium,Winter,Relaxation,3.8,7852,/static/images/harnai_beach_view.jpg,https://www.youtube.com/embed/sample_harnai_beach_view,Hotel Sai Ratnagiri,1355,Orchid Resort Ratnagiri,6405,19.5323,78.6642,https://source.unsplash.com/800x600/?Harnai%20Beach%20View%2CBeach%2CMaharashtra
Gosekhurd Dam Memorial,Bhandara,Beach,High,Winter,Cultural,3.8,10571,/static/images/gosekhurd_dam_memorial.jpg,https://www.youtube.com/embed/sample_gosekhurd_dam_memorial,City Center Guest House Bhandara,1733,Orchid Resort Bhandara,6811,17.4293,73.8456,https://source.unsplash.com/800x600/?Gosekhurd%20Dam%20Memorial%2CBeach%2CMaharashtra
Avchitgad Fort Heritage,Raigad,Fort,Medium,Winter,Adventure,4.9,7206,/static/images/avchitgad_fort_heritage.jpg,https://www.youtube.com/embed/sample_avchitgad_fort_heritage,Green Leaf Lodge Raigad,1061,Orchid Resort Raigad,6426,18.328,77.1664,https://source.unsplash.com/800x600/?Avchitgad%20Fort%20Heritage%2CFort%2CMaharashtra
Vetal Tekdi Lake Side,Pune,Hill,High,All,Relaxation,3.5,12011,/static/images/vetal_tekdi_lake_side.jpg,https://www.youtube.com/embed/sample_vetal_tekdi_lake_side,The Residency Pune,1251,Gateway Palace Pune,4585,19.8708,73.9807,https://source.unsplash.com/800x600/?Vetal%20Tekdi%20Lake%20Side%2CHill%2CMaharashtra
Hedvi Beach Garden,Ratnagiri,Beach,Medium,All,Relaxation,3.7,6467,/static/images/hedvi_beach_garden.jpg,https://www.youtube.com/embed/sample_hedvi_beach_garden,Royal Inn Ratnagiri,1006,Orchid Resort Ratnagiri,5130,19.1245,76.2925,https://source.unsplash.com/800x600/?Hedvi%20Beach%20Garden%2CBeach%2CMaharashtra
Padmalsaya Temple Garden,Jalgaon,Spiritual,High,All,Spiritual,4.8,10642,/static/images/padmalsaya_temple_garden.jpg,https://www.youtube.com/embed/sample_padmalsaya_temple_garden,Royal Inn Jalgaon,1005,Gateway Palace Jalgaon,3694,17.6757,78.0477,https://source.unsplash.com/800x600/?Padmalsaya%20Temple%20Garden%2CSpiritual%2CMaharashtra
Navegaon National Park View,Gondia,Wildlife,Medium,Monsoon,Wildlife,4.3,7657,/static/images/navegaon_national_park_view.jpg,https://www.youtube.com/embed/sample_navegaon_national_park_view,City Center Guest House Gondia,1131,Novotel Heritage Gondia,4887,19.4067,78.5402,https://source.unsplash.com/800x600/?Navegaon%20National%20Park%20View%2CWildlife%2CMaharashtra
Dragon Palace Temple Garden,Nagpur,Spiritual,Low,Winter,Spiritual,4.8,3281,/static/images/dragon_palace_temple_garden.jpg,https://www.youtube.com/embed/sample_dragon_palace_temple_garden,Pleasant Stay Nagpur,1671,Novotel Heritage Nagpur,3781,18.124,76.9118,https://source.unsplash.com/800x600/?Dragon%20Palace%20Temple%20Garden%2CSpiritual%2CMaharashtra
Sarang Kheda Ancient Site,Nandurbar,Hill,Low,Monsoon,Nature,3.7,1851,/static/images/sarang_kheda_ancient_site.jpg,https://www.youtube.com/embed/sample_sarang_kheda_ancient_site,Hotel Sai Nandurbar,1414,Gateway Palace Nandurbar,5340,18.3996,75.2878,https://source.unsplash.com/800x600/?Sarang%20Kheda%20Ancient%20Site%2CHill%2CMaharashtra
Korigad Fort Point,Raigad,Fort,Low,Winter,Adventure,3.8,2157,/static/images/korigad_fort_point.jpg,https://www.youtube.com/embed/sample_korigad_fort_point,Hotel Sai Raigad,1257,Vivanta Plaza Raigad,4795,16.6742,74.9843,https://source.unsplash.com/800x600/?Korigad%20Fort%20Point%2CFort%2CMaharashtra
Gandhi Research Foundation,Jalgaon,Nature,Medium,Winter,Nature,4.9,7366,/static/images/gandhi_research_foundation.jpg,https://www.youtube.com/embed/sample_gandhi_research_foundation,The Residency Jalgaon,1622,Vivanta Plaza Jalgaon,5407,20.6436,74.2357,https://source.unsplash.com/800x600/?Gandhi%20Research%20Foundation%2CNature%2CMaharashtra
Bhamragarh Wildlife Sanctuary Heritage,Gadchiroli,Wildlife,Low,All,Wildlife,3.9,3782,/static/images/bhamragarh_wildlife_sanctuary_heritage.jpg,https://www.youtube.com/embed/sample_bhamragarh_wildlife_sanctuary_heritage,The Residency Gadchiroli,1150,Vivanta Plaza Gadchiroli,4941,16.3508,74.4217,https://source.unsplash.com/800x600/?Bhamragarh%20Wildlife%20Sanctuary%20Heritage%2CWildlife%2CMaharashtra
Vishwa Shanti Stupa Memorial,Wardha,Beach,Low,Monsoon,Cultural,3.8,3224,/static/images/vishwa_shanti_stupa_memorial.jpg,https://www.youtube.com/embed/sample_vishwa_shanti_stupa_memorial,Royal Inn Wardha,1686,The Grand Regency Wardha,4630,20.4,78.5635,https://source.unsplash.com/800x600/?Vishwa%20Shanti%20Stupa%20Memorial%2CBeach%2CMaharashtra
Koka Wildlife Sanctuary Museum,Bhandara,Wildlife,Medium,Winter,Wildlife,4.8,7080,/static/images/koka_wildlife_sanctuary_museum.jpg,https://www.youtube.com/embed/sample_koka_wildlife_sanctuary_museum,City Center Guest House Bhandara,1348,Orchid Resort Bhandara,5886,20.7117,74.7705,https://source.unsplash.com/800x600/?Koka%20Wildlife%20Sanctuary%20Museum%2CWildlife%2CMaharashtra
Padmalsaya Temple Lake Side,Jalgaon,Spiritual,Low,Monsoon,Spiritual,4.2,3220,/static/images/padmalsaya_temple_lake_side.jpg,https://www.youtube.com/embed/sample_padmalsaya_temple_lake_side,Hotel Sai Jalgaon,1679,Gateway Palace Jalgaon,5199,19.4272,75.6382,https://source.unsplash.com/800x600/?Padmalsaya%20Temple%20Lake%20Side%2CSpiritual%2CMaharashtra
Nakane Lake Lake Side,Dhule,Wildlife,High,All,Adventure,4.0,14827,/static/images/nakane_lake_lake_side.jpg,https://www.youtube.com/embed/sample_nakane_lake_lake_side,Green Leaf Lodge Dhule,1657,Marriott Executive Dhule,4153,18.6806,75.488,https://source.unsplash.com/800x600/?Nakane%20Lake%20Lake%20Side%2CWildlife%2CMaharashtra
Itiadoh Dam Garden,Gondia,Historical,Medium,Winter,Relaxation,4.0,6708,/static/images/itiadoh_dam_garden.jpg,https://www.youtube.com/embed/sample_itiadoh_dam_garden,The Residency Gondia,1760,The Grand Regency Gondia,3519,18.065,75.123,https://source.unsplash.com/800x600/?Itiadoh%20Dam%20Garden%2CHistorical%2CMaharashtra
Kankaleshwar Temple Point,Beed,Spiritual,Medium,All,Spiritual,4.4,4380,/static/images/kankaleshwar_temple_point.jpg,https://www.youtube.com/embed/sample_kankaleshwar_temple_point,Heritage Home Beed,1031,Marriott Executive Beed,6005,20.1027,78.2449,https://source.unsplash.com/800x600/?Kankaleshwar%20Temple%20Point%2CSpiritual%2CMaharashtra
Nanaj Bird Sanctuary Lake Side,Latur,Wildlife,High,All,Wildlife,4.0,14423,/static/images/nanaj_bird_sanctuary_lake_side.jpg,https://www.youtube.com/embed/sample_nanaj_bird_sanctuary_lake_side,Hotel Sai Latur,1738,Gateway Palace Latur,6321,17.0889,79.1839,https://source.unsplash.com/800x600/?Nanaj%20Bird%20Sanctuary%20Lake%20Side%2CWildlife%2CMaharashtra
Korigad Fort Garden,Raigad,Fort,Medium,All,Adventure,4.8,4249,/static/images/korigad_fort_garden.jpg,https://www.youtube.com/embed/sample_korigad_fort_garden,The Residency Raigad,1051,Gateway Palace Raigad,5288,20.087,73.914,https://source.unsplash.com/800x600/?Korigad%20Fort%20Garden%2CFort%2CMaharashtra
Pohradevi Temple Museum,Washim,Spiritual,Low,All,Spiritual,4.4,2547,/static/images/pohradevi_temple_museum.jpg,https://www.youtube.com/embed/sample_pohradevi_temple_museum,Royal Inn Washim,1468,Novotel Heritage Washim,4399,17.7576,76.4343,https://source.unsplash.com/800x600/?Pohradevi%20Temple%20Museum%2CSpiritual%2CMaharashtra
Kohoj Fort Museum,Palghar,Fort,Low,Monsoon,Adventure,3.9,2156,/static/images/kohoj_fort_museum.jpg,https://www.youtube.com/embed/sample_kohoj_fort_museum,Green Leaf Lodge Palghar,1479,The Taj Mahal Inn Palghar,4224,20.6786,76.3104,https://source.unsplash.com/800x600/?Kohoj%20Fort%20Museum%2CFort%2CMaharashtra
Phule Wada Valley,Pune,Fort,Low,All,Wildlife,4.8,1539,/static/images/phule_wada_valley.jpg,https://www.youtube.com/embed/sample_phule_wada_valley,Pleasant Stay Pune,1111,Vivanta Plaza Pune,6959,18.7732,79.8941,https://source.unsplash.com/800x600/?Phule%20Wada%20Valley%2CFort%2CMaharashtra
Colaba Causeway View,Mumbai,Nature,Medium,Monsoon,Spiritual,4.7,6492,/static/images/colaba_causeway_view.jpg,https://www.youtube.com/embed/sample_colaba_causeway_view,Green Leaf Lodge Mumbai,1584,Orchid Resort Mumbai,5778,19.1453,79.5362,https://source.unsplash.com/800x600/?Colaba%20Causeway%20View%2CNature%2CMaharashtra
Sajjangad Fort Memorial,Satara,Fort,Low,Winter,Adventure,3.6,2253,/static/images/sajjangad_fort_memorial.jpg,https://www.youtube.com/embed/sample_sajjangad_fort_memorial,City Center Guest House Satara,1122,Marriott Executive Satara,5191,17.6886,77.6566,https://source.unsplash.com/800x600/?Sajjangad%20Fort%20Memorial%2CFort%2CMaharashtra
Shirud Temple Ancient Site,Dhule,Spiritual,Low,Monsoon,Spiritual,4.4,2353,/static/images/shirud_temple_ancient_site.jpg,https://www.youtube.com/embed/sample_shirud_temple_ancient_site,City Center Guest House Dhule,1130,The Grand Regency Dhule,3883,17.7085,75.9006,https://source.unsplash.com/800x600/?Shirud%20Temple%20Ancient%20Site%2CSpiritual%2CMaharashtra
Karnala Bird Sanctuary Ancient Site,Raigad,Wildlife,Medium,Monsoon,Wildlife,3.9,7828,/static/images/karnala_bird_sanctuary_ancient_site.jpg,https://www.youtube.com/embed/sample_karnala_bird_sanctuary_ancient_site,The Residency Raigad,1162,Vivanta Plaza Raigad,6132,19.3782,76.0443,https://source.unsplash.com/800x600/?Karnala%20Bird%20Sanctuary%20Ancient%20Site%2CWildlife%2CMaharashtra
Bhuikot Fort Museum,Solapur,Fort,High,Winter,Adventure,4.6,12107,/static/images/bhuikot_fort_museum.jpg,https://www.youtube.com/embed/sample_bhuikot_fort_museum,The Residency Solapur,1664,Gateway Palace Solapur,5881,16.4484,77.4608,https://source.unsplash.com/800x600/?Bhuikot%20Fort%20Museum%2CFort%2CMaharashtra
Daulatabad Fort View,Aurangabad,Fort,Low,Monsoon,Adventure,3.7,3277,/static/images/daulatabad_fort_view.jpg,https://www.youtube.com/embed/sample_daulatabad_fort_view,Heritage Home Aurangabad,1773,Marriott Executive Aurangabad,6219,16.996,74.2071,https://source.unsplash.com/800x600/?Daulatabad%20Fort%20View%2CFort%2CMaharashtra
